Date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,8.19,8.25,8.01,8.05,60300,8.05
2015-06-29,8.25,8.25,8.17,8.17,5300,8.17
2015-06-26,8.20,8.25,8.19,8.24,5300,8.24
2015-06-25,8.25,8.25,8.20,8.25,8400,8.25
2015-06-24,8.22,8.25,8.20,8.25,6500,8.25
2015-06-23,8.25,8.25,8.20,8.25,13400,8.25
2015-06-22,8.25,8.25,8.17,8.25,17600,8.25
2015-06-19,8.25,8.25,8.25,8.25,1500,8.25
2015-06-18,8.20,8.25,8.16,8.16,4300,8.16
2015-06-17,8.24,8.25,8.15,8.25,3000,8.25
2015-06-16,8.25,8.25,8.14,8.14,3700,8.14
2015-06-15,8.25,8.25,8.14,8.25,4600,8.25
2015-06-12,8.09,8.25,8.09,8.25,8800,8.25
2015-06-11,8.25,8.25,8.12,8.12,2700,8.12
2015-06-10,8.25,8.25,8.25,8.25,700,8.25
2015-06-09,8.20,8.25,8.20,8.24,1200,8.22
2015-06-08,8.21,8.24,8.20,8.24,5100,8.22
2015-06-05,8.20,8.20,8.20,8.20,200,8.180097
2015-06-04,8.21,8.21,8.21,8.21,000,8.190073
2015-06-03,8.08,8.21,8.08,8.21,900,8.190073
2015-06-02,8.10,8.18,8.05,8.18,9600,8.160146
2015-06-01,8.23,8.24,8.07,8.11,8800,8.090315
2015-05-29,8.15,8.20,8.15,8.20,2100,8.180097
2015-05-28,8.12,8.25,8.11,8.13,2100,8.110267
2015-05-27,8.25,8.25,8.25,8.25,000,8.229976
2015-05-26,8.20,8.25,8.19,8.25,1800,8.229976
2015-05-22,8.16,8.26,8.11,8.26,4100,8.239952
2015-05-21,8.15,8.27,8.15,8.27,700,8.249928
2015-05-20,8.11,8.25,8.11,8.25,200,8.229976
2015-05-19,8.24,8.24,8.24,8.24,000,8.22
2015-05-18,8.20,8.24,8.20,8.24,200,8.22
2015-05-15,8.16,8.22,8.15,8.21,2400,8.190073
2015-05-14,8.24,8.24,8.16,8.16,1800,8.140194
2015-05-13,8.27,8.27,8.15,8.20,1700,8.180097
2015-05-12,8.24,8.30,8.17,8.27,6400,8.249928
2015-05-11,8.30,8.30,8.25,8.30,700,8.279855
2015-05-08,8.29,8.30,8.29,8.30,1600,8.279855
2015-05-07,8.26,8.32,8.25,8.32,1200,8.299806
2015-05-06,8.30,8.30,8.30,8.30,3500,8.279855
2015-05-05,8.26,8.30,8.26,8.30,3800,8.279855
2015-05-04,8.30,8.30,8.30,8.30,2800,8.279855
2015-05-01,8.30,8.30,8.26,8.30,4100,8.279855
2015-04-30,8.24,8.30,8.24,8.30,11600,8.279855
2015-04-29,8.28,8.30,8.26,8.30,6100,8.279855
2015-04-28,8.29,8.30,8.29,8.30,2800,8.279855
2015-04-27,8.27,8.35,8.27,8.32,3000,8.299806
2015-04-24,8.26,8.30,8.26,8.30,16800,8.279855
2015-04-23,8.29,8.29,8.29,8.29,100,8.269879
2015-04-22,8.30,8.30,8.26,8.30,2300,8.279855
2015-04-21,8.30,8.30,8.21,8.24,9100,8.22
2015-04-20,8.30,8.31,8.25,8.25,11500,8.229976
2015-04-17,8.30,8.31,8.27,8.31,14500,8.289831
2015-04-16,8.27,8.32,8.27,8.30,42000,8.279855
2015-04-15,8.25,8.25,8.25,8.25,100,8.229976
2015-04-14,8.30,8.30,8.30,8.30,000,8.279855
2015-04-13,8.30,8.30,8.25,8.30,900,8.279855
2015-04-10,8.25,8.30,8.25,8.30,12900,8.279855
2015-04-09,8.25,8.30,8.25,8.30,5800,8.279855
2015-04-08,8.28,8.28,8.28,8.28,100,8.259903
2015-04-07,8.18,8.30,8.18,8.28,8000,8.259903
2015-04-06,8.28,8.28,8.16,8.16,4200,8.140194
2015-04-02,8.28,8.28,8.28,8.28,400,8.259903
2015-04-01,8.29,8.29,8.29,8.29,100,8.269879
2015-03-31,8.30,8.30,8.30,8.30,000,8.279855
2015-03-30,8.20,8.30,8.20,8.30,9100,8.279855
2015-03-27,8.28,8.28,8.20,8.20,1400,8.180097
2015-03-26,8.30,8.30,8.13,8.13,1400,8.110267
2015-03-25,8.24,8.29,8.12,8.12,2000,8.100291
2015-03-24,8.30,8.30,8.30,8.30,200,8.279855
2015-03-23,8.26,8.30,8.26,8.30,300,8.279855
2015-03-20,8.30,8.30,8.28,8.28,1100,8.259903
2015-03-19,8.30,8.30,8.30,8.30,2700,8.279855
2015-03-18,8.25,8.30,8.24,8.30,1500,8.279855
2015-03-17,8.35,8.35,8.25,8.29,500,8.269879
2015-03-16,8.28,8.28,8.25,8.25,1400,8.229976
2015-03-13,8.40,8.40,8.28,8.28,800,8.259903
2015-03-12,8.34,8.45,8.34,8.40,1900,8.379611
2015-03-11,8.35,8.45,8.28,8.28,1500,8.259903
2015-03-10,8.30,8.30,8.30,8.30,4600,8.279855
2015-03-09,8.29,8.29,8.29,8.29,000,8.249927
2015-03-06,8.19,8.29,8.19,8.29,2000,8.249927
2015-03-05,8.19,8.30,8.19,8.22,4700,8.180266
2015-03-04,8.15,8.20,8.15,8.20,3000,8.160362
2015-03-03,8.29,8.29,8.29,8.29,000,8.249927
2015-03-02,8.29,8.29,8.29,8.29,1100,8.249927
2015-02-27,8.30,8.30,8.21,8.30,2000,8.259879
2015-02-26,8.30,8.30,8.30,8.30,2000,8.259879
2015-02-25,8.30,8.30,8.23,8.30,2200,8.259879
2015-02-24,8.29,8.30,8.19,8.30,5300,8.259879
2015-02-23,8.28,8.30,8.21,8.23,6400,8.190217
2015-02-20,8.38,8.38,8.28,8.28,1900,8.239975
2015-02-19,8.32,8.38,8.32,8.38,1000,8.339492
2015-02-18,8.32,8.32,8.32,8.32,100,8.279782
2015-02-17,8.36,8.36,8.25,8.27,6000,8.230024
2015-02-13,8.35,8.35,8.27,8.28,3000,8.239975
2015-02-12,8.34,8.38,8.25,8.38,800,8.339492
2015-02-11,8.38,8.38,8.36,8.38,4400,8.339492
2015-02-10,8.32,8.40,8.31,8.39,3600,8.349444
2015-02-09,8.40,8.40,8.33,8.40,4800,8.359395
2015-02-06,8.40,8.40,8.40,8.40,000,8.359395
2015-02-05,8.40,8.40,8.40,8.40,1100,8.359395
2015-02-04,8.40,8.40,8.34,8.40,6300,8.359395
2015-02-03,8.33,8.40,8.32,8.40,17300,8.359395
2015-02-02,8.40,8.40,8.40,8.40,000,8.359395
2015-01-30,8.40,8.40,8.40,8.40,000,8.359395
2015-01-29,8.28,8.40,8.28,8.40,10200,8.359395
2015-01-28,8.28,8.35,8.28,8.30,500,8.259879
2015-01-27,8.34,8.34,8.28,8.28,800,8.239975
2015-01-26,8.29,8.35,8.28,8.28,4100,8.239975
2015-01-23,8.35,8.35,8.35,8.35,000,8.309638
2015-01-22,8.33,8.43,8.33,8.35,5200,8.309638
2015-01-21,8.40,8.40,8.31,8.39,3700,8.349444
2015-01-20,8.50,8.50,8.50,8.50,200,8.458912
2015-01-16,8.55,8.55,8.50,8.53,2100,8.488767
2015-01-15,8.53,8.65,8.53,8.65,900,8.608187
2015-01-14,8.53,8.65,8.53,8.65,200,8.608187
2015-01-13,8.54,8.68,8.54,8.68,600,8.638042
2015-01-12,8.59,8.60,8.59,8.60,200,8.558429
2015-01-09,8.70,8.70,8.51,8.54,7400,8.498719
2015-01-08,8.83,8.83,8.83,8.83,000,8.787317
2015-01-07,8.83,8.83,8.83,8.83,000,8.787317
2015-01-06,8.74,8.83,8.63,8.83,500,8.787317
2015-01-05,8.70,8.70,8.62,8.70,1600,8.657945
2015-01-02,8.84,8.84,8.84,8.84,000,8.797269
