Date,Open,High,Low,Close,Volume,Adj Close
2015-06-16,8.13,8.14,8.00,8.05,8300,8.05
2015-06-15,8.38,8.42,8.02,8.13,19700,8.13
2015-06-12,8.45,8.45,8.00,8.38,30400,8.38
2015-06-11,7.94,8.46,7.94,8.33,31100,8.33
2015-06-10,8.15,8.15,7.91,8.03,9200,8.03
2015-06-09,8.04,8.07,8.04,8.04,1900,7.96
2015-06-08,8.00,8.09,8.00,8.05,2700,7.969901
2015-06-05,7.95,8.09,7.95,8.05,1900,7.969901
2015-06-04,8.08,8.08,8.00,8.00,1000,7.920398
2015-06-03,7.96,8.04,7.95,7.95,5700,7.870896
2015-06-02,7.96,7.96,7.95,7.96,2400,7.880796
2015-06-01,8.01,8.06,7.95,8.02,4600,7.9402
2015-05-29,8.02,8.02,8.00,8.02,3800,7.9402
2015-05-28,8.28,8.28,7.97,8.00,6600,7.920398
2015-05-27,7.95,8.14,7.90,8.00,15000,7.920398
2015-05-26,7.95,8.02,7.95,8.00,4600,7.920398
2015-05-22,8.05,8.05,7.97,8.03,5300,7.950099
2015-05-21,8.00,8.05,7.98,8.00,7500,7.920398
2015-05-20,7.95,8.07,7.95,8.01,7500,7.930299
2015-05-19,7.91,8.06,7.91,7.96,3400,7.880796
2015-05-18,8.19,8.19,8.19,8.19,1300,8.108507
2015-05-15,8.05,8.05,7.99,8.04,1800,7.96
2015-05-14,8.08,8.22,8.04,8.05,5500,7.969901
2015-05-13,8.00,8.11,7.88,7.88,7400,7.801592
2015-05-12,8.08,8.10,8.08,8.10,2000,8.019404
2015-05-11,8.10,8.10,8.01,8.07,4200,7.989701
2015-05-08,8.06,8.11,8.06,8.10,2200,8.019404
2015-05-07,8.30,8.30,8.03,8.03,3200,7.950099
2015-05-06,8.03,8.13,8.00,8.05,10200,7.969901
2015-05-05,8.14,8.19,8.06,8.06,1000,7.979802
2015-05-04,8.10,8.22,8.01,8.16,11900,8.078806
2015-05-01,8.02,8.29,8.01,8.04,12000,7.96
2015-04-30,8.04,8.06,8.01,8.02,3800,7.9402
2015-04-29,8.07,8.07,8.04,8.04,4100,7.96
2015-04-28,8.10,8.10,8.03,8.03,3900,7.950099
2015-04-27,8.03,8.13,8.03,8.07,5500,7.989701
2015-04-24,8.10,8.12,8.00,8.07,6000,7.989701
2015-04-23,8.15,8.15,8.01,8.05,9000,7.969901
2015-04-22,7.95,8.15,7.95,8.12,6600,8.039204
2015-04-21,8.26,8.31,8.00,8.02,8700,7.9402
2015-04-20,8.27,8.39,8.27,8.27,9300,8.187712
2015-04-17,8.31,8.40,8.26,8.31,9900,8.227314
2015-04-16,8.34,8.50,8.31,8.31,10400,8.227314
2015-04-15,8.40,8.47,8.24,8.37,15700,8.286717
2015-04-14,8.41,8.49,8.21,8.49,21300,8.405522
2015-04-13,8.45,8.50,8.44,8.48,7600,8.395622
2015-04-10,8.49,8.50,8.41,8.50,5300,8.415423
2015-04-09,8.50,8.55,8.40,8.50,7600,8.415423
2015-04-08,8.29,8.62,8.26,8.61,48600,8.524328
2015-04-07,8.05,8.32,8.05,8.24,13500,8.15801
2015-04-06,8.12,8.12,7.90,8.05,14800,7.969901
2015-04-02,7.92,8.12,7.91,8.12,8500,8.039204
2015-04-01,7.80,8.10,7.74,7.99,12800,7.910498
2015-03-31,7.79,7.81,7.68,7.74,7000,7.662985
2015-03-30,7.77,7.92,7.67,7.81,13600,7.732289
2015-03-27,7.70,7.85,7.65,7.70,22300,7.623383
2015-03-26,7.90,7.92,7.76,7.80,11300,7.722388
2015-03-25,7.85,7.96,7.72,7.85,19500,7.771891
2015-03-24,7.80,7.93,7.78,7.81,8200,7.732289
2015-03-23,7.82,8.07,7.80,7.82,15700,7.742189
2015-03-20,7.89,8.10,7.80,7.82,16500,7.742189
2015-03-19,7.99,8.05,7.75,7.75,12400,7.672886
2015-03-18,7.85,7.85,7.75,7.76,5200,7.682787
2015-03-17,8.38,8.38,7.75,7.78,22900,7.702587
2015-03-16,7.99,8.05,7.64,7.72,28000,7.643184
2015-03-13,7.80,7.94,7.65,7.92,71900,7.841194
2015-03-12,7.96,8.02,7.51,7.84,65600,7.76199
2015-03-11,8.29,8.29,7.96,7.96,12500,7.880796
2015-03-10,8.41,8.41,8.15,8.28,12600,8.118408
2015-03-09,8.38,8.42,8.28,8.36,8900,8.196846
2015-03-06,8.25,8.34,8.19,8.34,20000,8.177237
2015-03-05,8.21,8.40,8.21,8.36,6800,8.196846
2015-03-04,8.25,8.40,8.25,8.38,2700,8.216457
2015-03-03,8.34,8.44,8.34,8.39,7300,8.226262
2015-03-02,8.45,8.45,8.29,8.44,6800,8.275285
2015-02-27,8.29,8.40,8.27,8.40,5300,8.236066
2015-02-26,8.16,8.29,8.16,8.29,1000,8.128213
2015-02-25,8.25,8.43,8.24,8.27,9200,8.108604
2015-02-24,8.43,8.43,8.21,8.36,7700,8.196846
2015-02-23,8.38,8.45,8.25,8.36,6500,8.196846
2015-02-20,8.63,8.63,8.21,8.32,11000,8.157627
2015-02-19,8.32,8.32,8.16,8.27,12200,8.108604
2015-02-18,8.23,8.43,8.23,8.31,1800,8.147823
2015-02-17,8.41,8.47,8.28,8.28,8700,8.118408
2015-02-13,8.51,8.60,8.51,8.59,3000,8.422358
2015-02-12,8.64,8.64,8.39,8.62,12100,8.451773
2015-02-11,8.33,8.78,8.33,8.54,30300,8.373334
2015-02-10,8.19,8.28,8.14,8.18,10100,8.02036
2015-02-09,8.15,8.19,8.13,8.13,2600,7.971336
2015-02-06,8.13,8.15,8.11,8.15,12000,7.990945
2015-02-05,8.11,8.13,7.99,8.10,2400,7.941921
2015-02-04,8.08,8.08,8.04,8.04,1100,7.883092
2015-02-03,7.87,8.09,7.87,8.05,4300,7.892897
2015-02-02,7.93,8.13,7.80,8.11,9900,7.951725
2015-01-30,8.10,8.10,7.93,7.93,1700,7.775238
2015-01-29,8.06,8.09,8.01,8.03,3800,7.873287
2015-01-28,8.08,8.08,7.86,7.96,4900,7.804653
2015-01-27,7.99,8.09,7.80,8.05,6500,7.892897
2015-01-26,8.00,8.11,8.00,8.01,5200,7.853678
2015-01-23,7.88,8.01,7.88,8.00,4900,7.843873
2015-01-22,8.04,8.10,8.00,8.02,3100,7.863483
2015-01-21,8.10,8.10,8.05,8.05,4000,7.892897
2015-01-20,7.90,8.09,7.84,8.09,4800,7.932116
2015-01-16,7.95,8.00,7.77,7.94,9000,7.785044
2015-01-15,7.86,7.93,7.69,7.90,7000,7.745824
2015-01-14,7.99,8.10,7.45,7.83,36300,7.67719
2015-01-13,8.14,8.14,8.00,8.10,1500,7.941921
2015-01-12,8.15,8.15,8.06,8.15,6800,7.990945
2015-01-09,8.01,8.05,8.01,8.05,700,7.892897
2015-01-08,8.04,8.15,8.00,8.01,7200,7.853678
2015-01-07,7.85,8.00,7.85,8.00,18200,7.843873
2015-01-06,7.76,7.88,7.71,7.78,4800,7.628166
2015-01-05,7.80,7.90,7.61,7.85,14400,7.6968
2015-01-02,7.78,7.80,7.74,7.80,7000,7.647776
