Date,Open,High,Low,Close,Volume,Adj Close
2015-01-20,8.37,8.48,8.35,8.45,33600,8.45
2015-01-16,8.03,8.35,7.91,8.32,45500,8.32
2015-01-15,8.46,8.46,8.08,8.19,45900,8.19
2015-01-14,8.25,8.50,8.01,8.46,59300,8.46
2015-01-13,8.27,8.60,8.16,8.40,79100,8.40
2015-01-12,7.93,8.20,7.90,8.09,60100,8.09
2015-01-09,8.20,8.20,7.94,8.11,47800,8.11
2015-01-08,8.20,8.29,8.06,8.24,46500,8.24
2015-01-07,8.15,8.22,7.87,8.07,107500,8.07
2015-01-06,8.66,8.67,7.95,8.18,112800,8.18
2015-01-05,8.61,8.64,8.41,8.61,65400,8.61
2015-01-02,8.71,8.75,8.40,8.73,71800,8.73
