Date,Open,High,Low,Close,Volume,Adj Close
2015-07-06,3.40,3.42,3.36,3.37,108700,3.37
2015-07-02,3.42,3.49,3.38,3.43,106300,3.43
2015-07-01,3.39,3.43,3.35,3.39,107800,3.39
2015-06-30,3.42,3.43,3.35,3.40,122200,3.40
2015-06-29,3.51,3.51,3.40,3.41,133400,3.41
2015-06-26,3.58,3.58,3.49,3.50,247800,3.50
2015-06-25,3.55,3.58,3.49,3.56,103000,3.56
2015-06-24,3.43,3.59,3.43,3.52,89500,3.52
2015-06-23,3.45,3.52,3.40,3.51,430400,3.51
2015-06-22,3.40,3.52,3.38,3.45,198000,3.45
2015-06-19,3.44,3.45,3.35,3.43,144300,3.43
2015-06-18,3.44,3.48,3.40,3.41,257500,3.41
2015-06-17,3.50,3.50,3.43,3.44,83800,3.44
2015-06-16,3.46,3.52,3.45,3.46,82800,3.46
2015-06-15,3.43,3.55,3.20,3.50,142400,3.50
2015-06-12,3.43,3.47,3.41,3.43,62400,3.43
2015-06-11,3.39,3.45,3.36,3.42,74700,3.42
2015-06-10,3.31,3.42,3.25,3.41,144700,3.41
2015-06-09,3.40,3.40,3.17,3.31,447100,3.31
2015-06-08,3.52,3.54,3.46,3.49,78200,3.49
2015-06-05,3.46,3.51,3.43,3.51,91900,3.51
2015-06-04,3.41,3.47,3.41,3.45,107900,3.45
2015-06-03,3.39,3.46,3.39,3.44,37200,3.44
2015-06-02,3.32,3.48,3.32,3.41,85600,3.41
2015-06-01,3.48,3.48,3.38,3.41,92500,3.41
2015-05-29,3.48,3.51,3.43,3.45,101900,3.45
2015-05-28,3.49,3.58,3.48,3.48,40800,3.48
2015-05-27,3.47,3.56,3.47,3.51,76000,3.51
2015-05-26,3.47,3.52,3.45,3.48,83700,3.48
2015-05-22,3.50,3.57,3.45,3.50,124800,3.50
2015-05-21,3.52,3.60,3.51,3.51,62300,3.51
2015-05-20,3.51,3.64,3.51,3.53,70800,3.53
2015-05-19,3.55,3.57,3.50,3.52,74000,3.52
2015-05-18,3.54,3.59,3.50,3.57,62300,3.57
2015-05-15,3.56,3.64,3.51,3.57,80700,3.57
2015-05-14,3.46,3.58,3.45,3.57,68700,3.57
2015-05-13,3.46,3.50,3.45,3.45,48300,3.45
2015-05-12,3.38,3.46,3.36,3.45,81500,3.45
2015-05-11,3.40,3.47,3.38,3.42,64800,3.42
2015-05-08,3.50,3.51,3.43,3.44,75300,3.44
2015-05-07,3.46,3.53,3.44,3.45,54000,3.45
2015-05-06,3.45,3.65,3.39,3.48,90200,3.48
2015-05-05,3.48,3.55,3.44,3.45,111300,3.45
2015-05-04,3.43,3.61,3.43,3.51,163600,3.51
2015-05-01,3.49,3.53,3.40,3.46,113100,3.46
2015-04-30,3.56,3.59,3.48,3.50,132600,3.50
2015-04-29,3.61,3.65,3.57,3.58,56900,3.58
2015-04-28,3.60,3.64,3.60,3.62,59400,3.62
2015-04-27,3.69,3.70,3.58,3.60,98500,3.60
2015-04-24,3.69,3.75,3.63,3.66,93500,3.66
2015-04-23,3.75,3.79,3.70,3.71,85700,3.71
2015-04-22,3.73,3.79,3.72,3.75,56200,3.75
2015-04-21,3.81,3.84,3.75,3.75,60800,3.75
2015-04-20,3.84,3.85,3.75,3.82,83000,3.82
2015-04-17,3.86,3.86,3.76,3.80,100400,3.80
2015-04-16,3.93,3.96,3.82,3.89,74200,3.89
2015-04-15,3.82,3.96,3.79,3.95,239000,3.95
2015-04-14,3.89,3.94,3.80,3.82,380300,3.82
2015-04-13,3.82,3.90,3.77,3.88,94800,3.88
2015-04-10,3.86,3.88,3.75,3.83,111600,3.83
2015-04-09,3.84,3.92,3.77,3.82,63500,3.82
2015-04-08,3.85,3.90,3.83,3.87,90900,3.87
2015-04-07,3.88,3.94,3.85,3.86,51700,3.86
2015-04-06,3.85,3.93,3.82,3.86,66800,3.86
2015-04-02,3.90,3.91,3.85,3.88,74700,3.88
2015-04-01,3.85,3.91,3.84,3.91,134600,3.91
2015-03-31,3.84,3.90,3.82,3.85,137300,3.85
2015-03-30,3.92,3.96,3.86,3.88,97900,3.88
2015-03-27,3.88,3.95,3.85,3.92,105100,3.92
2015-03-26,3.88,3.93,3.80,3.90,308200,3.90
2015-03-25,3.91,3.98,3.86,3.87,355900,3.87
2015-03-24,3.82,3.92,3.77,3.88,425300,3.88
2015-03-23,3.75,3.85,3.75,3.79,302800,3.79
2015-03-20,3.78,3.78,3.69,3.74,588800,3.74
2015-03-19,3.66,3.75,3.66,3.75,131300,3.75
2015-03-18,3.66,3.74,3.63,3.68,157700,3.68
2015-03-17,3.62,3.73,3.60,3.65,249300,3.65
2015-03-16,3.63,3.67,3.57,3.64,314600,3.64
2015-03-13,3.58,3.68,3.52,3.63,253700,3.63
2015-03-12,3.52,3.69,3.50,3.67,150100,3.67
2015-03-11,3.52,3.57,3.46,3.48,181300,3.48
2015-03-10,3.58,3.60,3.50,3.51,143300,3.51
2015-03-09,3.71,3.71,3.56,3.57,167700,3.57
2015-03-06,3.62,3.79,3.62,3.68,570000,3.68
2015-03-05,3.63,3.74,3.60,3.65,174200,3.65
2015-03-04,3.75,3.76,3.62,3.63,231200,3.63
2015-03-03,3.74,3.80,3.74,3.74,72000,3.74
2015-03-02,3.76,3.82,3.74,3.78,90700,3.78
2015-02-27,3.75,3.80,3.74,3.74,132300,3.74
2015-02-26,3.72,3.80,3.72,3.75,130400,3.75
2015-02-25,3.75,3.78,3.70,3.73,187400,3.73
2015-02-24,3.74,3.76,3.66,3.74,104700,3.74
2015-02-23,3.71,3.75,3.65,3.71,125900,3.71
2015-02-20,3.78,3.79,3.71,3.73,90400,3.73
2015-02-19,3.67,3.80,3.67,3.80,176000,3.80
2015-02-18,3.69,3.74,3.63,3.69,186200,3.69
2015-02-17,3.78,3.78,3.65,3.68,166600,3.68
2015-02-13,3.72,3.79,3.69,3.78,167400,3.78
2015-02-12,3.65,3.75,3.65,3.74,317300,3.74
2015-02-11,3.60,3.70,3.60,3.63,194100,3.63
2015-02-10,3.63,3.70,3.49,3.63,181400,3.63
2015-02-09,3.65,3.78,3.62,3.65,213100,3.65
2015-02-06,3.69,3.74,3.62,3.63,190800,3.63
2015-02-05,3.71,3.78,3.68,3.71,184400,3.71
2015-02-04,3.66,3.73,3.66,3.68,168900,3.68
2015-02-03,3.66,3.73,3.64,3.69,240200,3.69
2015-02-02,3.60,3.70,3.35,3.66,361700,3.66
2015-01-30,3.82,3.85,3.60,3.61,230300,3.61
2015-01-29,3.70,3.82,3.67,3.82,246800,3.82
2015-01-28,3.78,3.80,3.70,3.72,298500,3.72
2015-01-27,3.76,3.85,3.72,3.73,243000,3.73
2015-01-26,3.73,3.91,3.69,3.81,401200,3.81
2015-01-23,3.72,3.76,3.63,3.75,229400,3.75
2015-01-22,3.66,3.71,3.61,3.71,161800,3.71
2015-01-21,3.68,3.74,3.63,3.64,73900,3.64
2015-01-20,3.67,3.77,3.60,3.68,109200,3.68
2015-01-16,3.57,3.68,3.57,3.67,120000,3.67
2015-01-15,3.63,3.64,3.57,3.59,200000,3.59
2015-01-14,3.65,3.70,3.60,3.63,100000,3.63
2015-01-13,3.75,3.80,3.67,3.71,240000,3.71
2015-01-12,3.76,3.82,3.69,3.71,200000,3.71
2015-01-09,3.71,3.82,3.63,3.79,460000,3.79
2015-01-08,3.67,3.73,3.64,3.71,290000,3.71
2015-01-07,3.57,3.66,3.56,3.65,140000,3.65
2015-01-06,3.63,3.69,3.55,3.58,250000,3.58
2015-01-05,3.56,3.65,3.53,3.60,140000,3.60
2015-01-02,3.75,3.75,3.56,3.60,160000,3.60
