Date,Open,High,Low,Close,Volume,Adj Close
2015-05-29,2.69,2.79,2.69,2.75,7500,2.75
2015-05-28,2.73,2.74,2.71,2.72,3700,2.72
2015-05-27,2.69,2.72,2.69,2.71,13200,2.71
2015-05-26,2.69,2.70,2.65,2.70,2700,2.70
2015-05-22,2.70,2.70,2.64,2.67,2400,2.67
2015-05-21,2.64,2.70,2.58,2.66,12900,2.66
2015-05-20,2.66,2.70,2.66,2.67,4100,2.67
2015-05-19,2.70,2.70,2.65,2.65,14600,2.65
2015-05-18,2.61,2.70,2.61,2.70,28600,2.70
2015-05-15,2.65,2.65,2.55,2.59,44100,2.59
2015-05-14,2.61,2.67,2.60,2.60,11400,2.60
2015-05-13,2.63,2.70,2.62,2.68,4000,2.68
2015-05-12,2.65,2.66,2.58,2.66,6100,2.66
2015-05-11,2.62,2.68,2.60,2.64,4100,2.64
2015-05-08,2.70,2.70,2.62,2.68,800,2.68
2015-05-07,2.65,2.66,2.62,2.64,900,2.64
2015-05-06,2.65,2.68,2.56,2.60,56800,2.60
2015-05-05,2.60,2.65,2.57,2.62,23200,2.62
2015-05-04,2.56,2.65,2.56,2.62,16000,2.62
2015-05-01,2.76,2.76,2.57,2.61,19100,2.61
2015-04-30,2.80,2.80,2.74,2.78,19600,2.78
2015-04-29,2.75,2.80,2.75,2.78,3800,2.78
2015-04-28,2.76,2.80,2.75,2.80,19900,2.80
2015-04-27,2.70,2.76,2.68,2.73,44100,2.73
2015-04-24,2.58,2.66,2.57,2.66,6600,2.66
2015-04-23,2.69,2.69,2.62,2.65,12500,2.65
2015-04-22,2.61,2.66,2.58,2.66,18500,2.66
2015-04-21,2.65,2.65,2.60,2.60,2700,2.60
2015-04-20,2.58,2.63,2.58,2.60,2600,2.60
2015-04-17,2.61,2.61,2.55,2.60,10000,2.60
2015-04-16,2.63,2.63,2.62,2.63,7300,2.63
2015-04-15,2.68,2.68,2.63,2.63,5400,2.63
2015-04-14,2.62,2.65,2.62,2.65,2500,2.65
2015-04-13,2.57,2.64,2.57,2.61,11500,2.61
2015-04-10,2.56,2.65,2.56,2.62,9400,2.62
2015-04-09,2.60,2.62,2.60,2.61,2600,2.61
2015-04-08,2.64,2.67,2.59,2.62,23400,2.62
2015-04-07,2.61,2.65,2.60,2.63,17800,2.63
2015-04-06,2.60,2.63,2.59,2.59,5500,2.59
2015-04-02,2.62,2.62,2.59,2.62,900,2.62
2015-04-01,2.60,2.62,2.59,2.62,11400,2.62
2015-03-31,2.65,2.65,2.62,2.62,18800,2.62
2015-03-30,2.60,2.64,2.60,2.62,7900,2.62
2015-03-27,2.54,2.59,2.54,2.58,4400,2.58
2015-03-26,2.56,2.56,2.55,2.56,2000,2.56
2015-03-25,2.62,2.62,2.54,2.56,17300,2.56
2015-03-24,2.58,2.60,2.58,2.60,4000,2.60
2015-03-23,2.53,2.58,2.53,2.58,5600,2.58
2015-03-20,2.55,2.55,2.45,2.52,47000,2.52
2015-03-19,2.63,2.65,2.46,2.50,91900,2.50
2015-03-18,2.62,2.68,2.62,2.66,5200,2.66
2015-03-17,2.66,2.68,2.60,2.64,6000,2.64
2015-03-16,2.67,2.67,2.56,2.64,13600,2.64
2015-03-13,2.64,2.65,2.61,2.63,9100,2.63
2015-03-12,2.68,2.68,2.60,2.63,12700,2.63
2015-03-11,2.61,2.68,2.60,2.64,11800,2.64
2015-03-10,2.64,2.65,2.61,2.65,14600,2.65
2015-03-09,2.70,2.72,2.65,2.65,9000,2.65
2015-03-06,2.74,2.74,2.65,2.72,48200,2.72
2015-03-05,2.68,2.74,2.66,2.73,15600,2.73
2015-03-04,2.68,2.73,2.68,2.72,12900,2.72
2015-03-03,2.71,2.71,2.65,2.70,35400,2.70
2015-03-02,2.69,2.69,2.64,2.69,12700,2.69
2015-02-27,2.67,2.69,2.60,2.69,41100,2.69
2015-02-26,2.63,2.67,2.61,2.65,17600,2.65
2015-02-25,2.69,2.69,2.65,2.67,4500,2.67
2015-02-24,2.72,2.72,2.63,2.67,30600,2.67
2015-02-23,2.74,2.75,2.68,2.68,49600,2.68
2015-02-20,2.78,2.78,2.70,2.70,40200,2.70
2015-02-19,2.74,2.80,2.73,2.73,35700,2.73
2015-02-18,2.76,2.82,2.74,2.78,19900,2.78
2015-02-17,2.81,2.82,2.78,2.78,10500,2.78
2015-02-13,2.81,2.83,2.76,2.78,53700,2.78
2015-02-12,2.80,2.85,2.79,2.80,52100,2.80
2015-02-11,2.74,2.78,2.72,2.78,45800,2.78
2015-02-10,2.65,2.72,2.63,2.71,53000,2.71
2015-02-09,2.65,2.74,2.63,2.63,54400,2.63
2015-02-06,2.73,2.74,2.66,2.66,24700,2.66
2015-02-05,2.70,2.76,2.66,2.66,63300,2.66
2015-02-04,2.76,2.76,2.66,2.66,54000,2.66
2015-02-03,2.80,2.80,2.71,2.71,31000,2.71
2015-02-02,2.87,2.87,2.71,2.75,58600,2.75
2015-01-30,3.05,3.05,2.67,2.86,278000,2.86
2015-01-29,2.92,3.04,2.77,3.00,568200,3.00
2015-01-28,2.72,2.82,2.72,2.79,13000,2.79
2015-01-27,2.78,2.83,2.72,2.75,8900,2.75
2015-01-26,2.72,2.79,2.71,2.72,9500,2.72
2015-01-23,2.75,2.79,2.75,2.78,5300,2.78
2015-01-22,2.75,2.77,2.72,2.77,6200,2.77
2015-01-21,2.73,2.74,2.70,2.74,26600,2.74
2015-01-20,2.70,2.75,2.70,2.72,2400,2.72
2015-01-16,2.55,2.78,2.55,2.72,2000,2.72
2015-01-15,2.71,2.79,2.65,2.71,6800,2.71
2015-01-14,2.70,2.80,2.70,2.75,7900,2.75
2015-01-13,2.75,2.79,2.74,2.74,3500,2.74
2015-01-12,2.70,2.74,2.67,2.74,15200,2.74
2015-01-09,2.75,2.79,2.70,2.73,12900,2.73
2015-01-08,2.89,2.89,2.75,2.75,20300,2.75
2015-01-07,2.95,2.95,2.75,2.80,29500,2.80
2015-01-06,2.99,2.99,2.86,2.91,25200,2.91
2015-01-05,2.97,3.00,2.86,2.98,8600,2.98
2015-01-02,2.92,2.99,2.88,2.96,18800,2.96
