Date,Open,High,Low,Close,Volume,Adj Close
2015-06-08,5.85,5.90,5.85,5.89,1600,5.870625
2015-06-05,5.90,5.94,5.82,5.82,1200,5.800856
2015-06-04,5.85,5.85,5.85,5.85,1100,5.830757
2015-06-03,5.82,5.95,5.82,5.90,1800,5.880592
2015-06-02,5.86,5.99,5.86,5.90,1900,5.880592
2015-06-01,5.90,5.90,5.90,5.90,500,5.880592
2015-05-29,5.80,6.10,5.61,5.86,15100,5.840724
2015-05-28,5.94,5.99,5.82,5.82,1900,5.800856
2015-05-27,6.03,6.04,5.55,6.02,8900,6.000197
2015-05-26,6.00,6.09,6.00,6.09,400,6.069967
2015-05-22,6.10,6.10,5.95,6.10,3500,6.079934
2015-05-21,6.10,6.10,6.10,6.10,500,6.079934
2015-05-20,6.10,6.10,6.00,6.05,3700,6.030099
2015-05-19,6.10,6.17,5.95,5.99,7000,5.970296
2015-05-18,6.10,6.15,6.01,6.01,5600,5.990231
2015-05-15,6.10,6.10,5.95,6.10,7100,6.079934
2015-05-14,5.90,6.10,5.90,5.97,8100,5.950362
2015-05-13,5.66,5.66,5.66,5.66,000,5.641381
2015-05-12,5.94,5.94,5.66,5.66,7800,5.641381
2015-05-11,5.85,5.95,5.85,5.90,8700,5.880592
2015-05-08,5.85,5.85,5.85,5.85,000,5.830757
2015-05-07,5.85,5.85,5.85,5.85,000,5.830757
2015-05-06,5.85,5.85,5.85,5.85,000,5.830757
2015-05-05,5.85,5.85,5.85,5.85,100,5.830757
2015-05-04,5.74,5.75,5.60,5.75,7700,5.731086
2015-05-01,5.75,5.75,5.56,5.75,1400,5.731086
2015-04-30,5.75,5.75,5.74,5.75,3800,5.731086
2015-04-29,5.75,5.75,5.75,5.75,100,5.731086
2015-04-28,5.62,5.75,5.55,5.73,3400,5.691217
2015-04-27,5.66,5.75,5.65,5.65,1800,5.611759
2015-04-24,5.65,5.75,5.65,5.75,1800,5.711082
2015-04-23,5.65,5.65,5.65,5.65,300,5.611759
2015-04-22,5.65,5.65,5.65,5.65,000,5.611759
2015-04-21,5.72,5.73,5.65,5.65,3400,5.611759
2015-04-20,5.69,5.69,5.69,5.69,000,5.651488
2015-04-17,5.69,5.69,5.69,5.69,000,5.651488
2015-04-16,5.75,5.81,5.69,5.69,8200,5.651488
2015-04-15,5.71,5.75,5.70,5.75,800,5.711082
2015-04-14,5.69,5.75,5.65,5.75,3500,5.711082
2015-04-13,5.65,5.65,5.65,5.65,2400,5.611759
2015-04-10,5.71,5.75,5.65,5.65,3600,5.611759
2015-04-09,5.70,5.70,5.70,5.70,000,5.66142
2015-04-08,5.70,5.72,5.70,5.70,10500,5.66142
2015-04-07,5.65,5.70,5.65,5.70,4700,5.66142
2015-04-06,5.64,5.64,5.60,5.60,700,5.562097
2015-04-02,5.53,5.53,5.53,5.53,300,5.492571
2015-04-01,5.80,5.80,5.56,5.56,2400,5.522368
2015-03-31,5.76,5.90,5.75,5.75,1000,5.711082
2015-03-30,5.90,5.90,5.75,5.75,200,5.711082
2015-03-27,5.93,5.93,5.93,5.93,100,5.889863
2015-03-26,5.82,5.96,5.82,5.91,2700,5.869999
2015-03-25,5.75,5.75,5.75,5.75,1500,5.711082
2015-03-24,5.86,5.86,5.75,5.75,3300,5.711082
2015-03-23,5.84,5.85,5.84,5.85,2700,5.810405
2015-03-20,5.80,5.84,5.75,5.75,1000,5.711082
2015-03-19,5.85,5.85,5.85,5.85,300,5.810405
2015-03-18,5.71,5.90,5.68,5.78,12700,5.740879
2015-03-17,5.60,5.75,5.59,5.72,23700,5.681285
2015-03-16,5.50,5.60,5.50,5.60,1700,5.562097
2015-03-13,5.47,5.47,5.47,5.47,000,5.432977
2015-03-12,5.47,5.47,5.47,5.47,000,5.432977
2015-03-11,5.50,5.60,5.47,5.47,7100,5.432977
2015-03-10,5.60,5.60,5.50,5.50,9300,5.462774
2015-03-09,5.55,5.55,5.55,5.55,000,5.512436
2015-03-06,5.55,5.55,5.55,5.55,1100,5.512436
2015-03-05,5.47,5.47,5.47,5.47,100,5.432977
2015-03-04,5.40,5.40,5.40,5.40,000,5.363451
2015-03-03,5.40,5.40,5.40,5.40,000,5.363451
2015-03-02,5.40,5.40,5.40,5.40,1000,5.363451
2015-02-27,5.31,5.31,5.31,5.31,000,5.27406
2015-02-26,5.23,5.64,5.23,5.31,5100,5.27406
2015-02-25,5.41,5.50,5.11,5.15,5900,5.115143
2015-02-24,5.60,5.60,5.45,5.47,900,5.432977
2015-02-23,5.50,5.56,5.46,5.50,3800,5.462774
2015-02-20,5.45,5.47,5.45,5.45,1100,5.413112
2015-02-19,5.43,5.65,5.26,5.26,26600,5.224398
2015-02-18,4.97,5.13,4.97,5.13,5400,5.095278
2015-02-17,5.10,5.10,4.50,4.77,19000,4.737715
2015-02-13,5.00,5.06,4.91,4.91,12700,4.876767
2015-02-12,5.04,5.04,5.00,5.00,6200,4.966158
2015-02-11,5.16,5.16,5.16,5.16,000,5.125075
2015-02-10,5.16,5.16,5.16,5.16,000,5.125075
2015-02-09,5.16,5.16,5.16,5.16,000,5.125075
2015-02-06,5.48,5.48,5.16,5.16,35300,5.125075
2015-02-05,5.25,5.25,5.25,5.25,000,5.214466
2015-02-04,5.20,5.35,5.20,5.25,8100,5.214466
2015-02-03,5.25,5.38,5.15,5.25,2200,5.214466
2015-02-02,5.24,5.40,5.24,5.40,800,5.363451
2015-01-30,5.35,5.39,5.28,5.34,8200,5.303857
2015-01-29,5.50,5.50,5.40,5.40,2700,5.363451
2015-01-28,5.70,5.70,5.25,5.55,4500,5.492571
2015-01-27,5.25,5.25,5.25,5.25,000,5.195675
2015-01-26,5.25,5.25,5.25,5.25,000,5.195675
2015-01-23,4.81,5.35,4.79,5.25,13400,5.195675
2015-01-22,4.85,5.07,4.85,5.07,3500,5.017538
2015-01-21,5.14,5.14,4.75,4.96,9900,4.908676
2015-01-20,5.25,5.25,5.25,5.25,4200,5.195675
2015-01-16,5.35,5.35,5.25,5.25,1400,5.195675
2015-01-15,5.25,5.33,5.25,5.33,800,5.274847
2015-01-14,5.70,5.70,5.17,5.25,2700,5.195675
2015-01-13,5.60,5.81,5.60,5.65,7500,5.591536
2015-01-12,5.04,5.60,5.04,5.60,2200,5.542053
2015-01-09,4.96,5.45,4.96,5.45,24800,5.393605
2015-01-08,5.15,5.17,4.85,5.05,2500,4.997745
2015-01-07,5.17,5.17,5.13,5.17,500,5.116503
2015-01-06,4.64,5.20,4.60,5.04,11200,4.987848
2015-01-05,4.85,4.90,4.85,4.90,5700,4.849297
2015-01-02,4.87,4.87,4.87,4.87,000,4.819607
