Date,Open,High,Low,Close,Volume,Adj Close
2015-06-12,4.55,4.58,4.45,4.48,1594300,4.48
2015-06-11,4.59,4.61,4.47,4.56,1400800,4.56
2015-06-10,4.63,4.65,4.46,4.59,1482300,4.59
2015-06-09,4.88,4.91,4.30,4.63,3864000,4.63
2015-06-08,5.08,5.10,4.87,4.90,1925500,4.90
2015-06-05,5.07,5.19,4.97,5.14,2427600,5.14
2015-06-04,5.00,5.14,4.91,5.13,2517800,5.13
2015-06-03,4.85,5.07,4.81,5.01,2514000,5.01
2015-06-02,4.91,4.95,4.82,4.85,1006000,4.85
2015-06-01,4.91,4.98,4.80,4.91,1786100,4.91
2015-05-29,4.89,5.03,4.81,4.90,1456600,4.90
2015-05-28,4.93,4.97,4.80,4.92,1316100,4.92
2015-05-27,4.95,5.00,4.86,4.93,1447800,4.93
2015-05-26,4.96,5.00,4.85,4.95,1852300,4.95
2015-05-22,4.99,5.09,4.92,5.01,1717000,5.01
2015-05-21,5.02,5.10,4.98,5.00,1502600,5.00
2015-05-20,4.99,5.11,4.94,5.03,2606900,5.03
2015-05-19,4.97,5.03,4.84,5.01,3201700,5.01
2015-05-18,5.04,5.07,4.91,4.98,2505600,4.98
2015-05-15,4.98,5.08,4.94,5.01,3488500,5.01
2015-05-14,5.05,5.17,4.99,5.01,4695300,5.01
2015-05-13,5.42,5.75,4.84,5.02,18225000,5.02
2015-05-12,6.65,6.90,5.91,5.93,12218000,5.93
2015-05-11,6.75,6.93,6.67,6.86,2575900,6.86
2015-05-08,6.51,6.96,6.50,6.87,2632000,6.87
2015-05-07,6.52,6.66,6.38,6.58,2176800,6.58
2015-05-06,6.61,6.65,6.43,6.50,2247300,6.50
2015-05-05,6.70,6.80,6.45,6.61,3229000,6.61
2015-05-04,6.71,6.89,6.70,6.72,1225500,6.72
2015-05-01,6.63,6.83,6.50,6.67,1859200,6.67
2015-04-30,6.89,6.97,6.42,6.57,2896300,6.57
2015-04-29,6.97,7.08,6.78,6.95,1707300,6.95
2015-04-28,7.05,7.25,6.77,7.01,2127900,7.01
2015-04-27,7.41,7.49,6.94,6.95,2610600,6.95
2015-04-24,7.41,7.58,7.28,7.36,2337000,7.36
2015-04-23,7.32,7.53,7.22,7.44,2140500,7.44
2015-04-22,7.18,7.40,6.88,7.39,3610600,7.39
2015-04-21,7.49,7.62,6.78,7.17,5981400,7.17
2015-04-20,7.75,7.75,7.39,7.55,1989500,7.55
2015-04-17,7.74,7.82,7.45,7.54,2501200,7.54
2015-04-16,8.02,8.03,7.74,7.80,2077300,7.80
2015-04-15,7.95,8.11,7.90,8.03,2407200,8.03
2015-04-14,8.05,8.08,7.75,7.97,1819500,7.97
2015-04-13,8.09,8.24,7.98,8.00,2505400,8.00
2015-04-10,8.00,8.22,7.97,8.10,2328200,8.10
2015-04-09,8.04,8.14,7.93,8.00,3481900,8.00
2015-04-08,8.01,8.10,7.93,8.07,2920100,8.07
2015-04-07,7.85,8.13,7.81,7.93,5170700,7.93
2015-04-06,7.68,7.83,7.64,7.81,1963800,7.81
2015-04-02,7.71,7.80,7.50,7.77,2597600,7.77
2015-04-01,7.82,7.88,7.51,7.68,3919800,7.68
2015-03-31,7.76,8.01,7.60,7.83,4531000,7.83
2015-03-30,7.60,7.83,7.52,7.75,5458000,7.75
2015-03-27,7.84,7.87,7.39,7.54,9711300,7.54
2015-03-26,6.89,7.47,6.64,7.25,9257100,7.25
2015-03-25,7.30,7.38,6.86,6.92,4052000,6.92
2015-03-24,7.43,7.58,7.20,7.27,2240200,7.27
2015-03-23,7.16,7.48,7.02,7.40,2805600,7.40
2015-03-20,7.62,7.80,7.08,7.19,4576700,7.19
2015-03-19,7.50,7.72,7.48,7.60,2204600,7.60
2015-03-18,7.45,7.56,7.21,7.42,3080600,7.42
2015-03-17,6.99,7.74,6.98,7.53,7188000,7.53
2015-03-16,7.12,7.16,6.87,6.98,2053300,6.98
2015-03-13,6.90,7.05,6.86,7.04,3378300,7.04
2015-03-12,6.94,7.04,6.77,6.97,3397800,6.97
2015-03-11,7.25,7.26,6.90,6.93,4352000,6.93
2015-03-10,7.06,7.42,6.85,7.30,4504500,7.30
2015-03-09,7.06,7.36,6.86,7.13,5889900,7.13
2015-03-06,6.81,7.45,6.76,7.10,20165800,7.10
2015-03-05,8.50,8.74,7.78,8.01,17365500,8.01
2015-03-04,8.00,9.02,7.75,8.49,40680400,8.49
2015-03-03,5.94,9.37,5.92,7.64,95895900,7.64
2015-03-02,5.66,5.80,5.60,5.79,1699500,5.79
2015-02-27,5.86,5.86,5.60,5.64,1802400,5.64
2015-02-26,5.86,5.92,5.63,5.87,1644800,5.87
2015-02-25,5.82,5.97,5.55,5.85,2205400,5.85
2015-02-24,6.10,6.12,5.65,5.82,2190400,5.82
2015-02-23,5.99,6.07,5.76,6.04,2323300,6.04
2015-02-20,5.80,5.99,5.78,5.96,1885100,5.96
2015-02-19,5.75,5.89,5.70,5.77,1406700,5.77
2015-02-18,5.68,5.78,5.62,5.75,710400,5.75
2015-02-17,5.59,5.78,5.59,5.71,1307500,5.71
2015-02-13,5.47,5.57,5.45,5.55,786600,5.55
2015-02-12,5.38,5.71,5.32,5.45,1785300,5.45
2015-02-11,5.25,5.37,5.21,5.36,755200,5.36
2015-02-10,5.25,5.30,5.15,5.27,577000,5.27
2015-02-09,5.25,5.45,5.21,5.22,973900,5.22
2015-02-06,5.42,5.47,5.25,5.29,799400,5.29
2015-02-05,5.27,5.45,5.16,5.40,1328500,5.40
2015-02-04,5.29,5.36,5.09,5.22,1453100,5.22
2015-02-03,5.11,5.38,4.90,5.34,2283800,5.34
2015-02-02,5.24,5.28,5.00,5.10,1808400,5.10
2015-01-30,5.33,5.41,5.23,5.25,1114600,5.25
2015-01-29,5.50,5.52,5.18,5.35,2261800,5.35
2015-01-28,5.75,5.93,5.45,5.49,2119800,5.49
2015-01-27,5.49,5.78,5.49,5.67,4897400,5.67
2015-01-26,5.43,5.61,5.31,5.56,3918100,5.56
2015-01-23,5.45,5.68,5.32,5.41,5406300,5.41
2015-01-22,5.26,5.33,5.09,5.28,2937200,5.28
2015-01-21,5.22,5.37,5.07,5.23,1560300,5.23
2015-01-20,5.49,5.57,5.12,5.24,1996200,5.24
2015-01-16,5.09,5.45,5.08,5.45,1809700,5.45
2015-01-15,5.57,5.70,5.15,5.16,2159800,5.16
2015-01-14,5.40,5.58,5.40,5.56,2105900,5.56
2015-01-13,5.79,5.80,5.32,5.43,3599100,5.43
2015-01-12,5.80,5.84,5.61,5.75,1634600,5.75
2015-01-09,5.88,5.88,5.67,5.78,1541900,5.78
2015-01-08,5.88,5.92,5.78,5.84,1703300,5.84
2015-01-07,6.04,6.04,5.79,5.83,2056500,5.83
2015-01-06,6.18,6.30,5.90,5.95,1503600,5.95
2015-01-05,6.31,6.37,6.11,6.15,1684300,6.15
2015-01-02,6.12,6.34,5.93,6.30,2238800,6.30
