Date,Open,High,Low,Close,Volume,Adj Close
2015-06-09,138.949997,140.729996,136.509995,140.210007,4407100,139.815022
2015-06-08,143.570007,143.770004,137.529999,138.630005,5442200,138.239471
2015-06-05,140.970001,144.039993,139.309998,143.809998,3859300,143.404871
2015-06-04,142.490005,143.440002,140.479996,141.199997,2801700,140.802223
2015-06-03,146.00,146.00,142.809998,143.059998,3045000,142.656984
2015-06-02,146.410004,146.669998,143.139999,144.160004,4126400,143.753891
2015-06-01,148.240005,150.50,145.149994,146.619995,8357900,146.206953
2015-05-29,144.119995,149.240005,144.110001,148.070007,11824400,147.65288
2015-05-28,145.009995,145.470001,136.00,142.380005,24912300,141.978907
2015-05-27,132.089996,144.820007,131.619995,141.490005,11424800,141.091415
2015-05-26,134.360001,134.529999,130.639999,131.300003,2678100,130.930119
2015-05-22,129.820007,133.830002,129.820007,132.639999,2285600,132.26634
2015-05-21,129.509995,130.029999,127.839996,129.589996,2130900,129.224929
2015-05-20,129.940002,131.070007,128.110001,129.110001,1872100,128.746286
2015-05-19,130.860001,131.850006,129.25,129.470001,1605300,129.105272
2015-05-18,127.949997,130.399994,127.279999,130.179993,1798400,129.813263
2015-05-15,127.790001,129.50,126.57,127.870003,2262700,127.509781
2015-05-14,124.139999,128.679993,123.639999,126.940002,2327900,126.5824
2015-05-13,123.629997,124.839996,122.309998,123.129997,1185700,122.783128
2015-05-12,122.019997,123.580002,121.300003,122.949997,1026400,122.603635
2015-05-11,123.57,123.860001,122.599998,122.809998,1241800,122.46403
2015-05-08,123.199997,124.93,122.730003,123.330002,1484600,122.98257
2015-05-07,120.00,123.639999,120.00,122.480003,2354200,122.134966
2015-05-06,117.839996,118.370003,115.389999,116.779999,1447500,116.451019
2015-05-05,120.099998,120.669998,116.629997,116.790001,2209000,116.460992
2015-05-04,122.830002,123.849998,120.860001,121.160004,1420700,120.818685
2015-05-01,117.919998,123.43,117.879997,122.800003,2533400,122.454064
2015-04-30,116.690002,118.940002,116.260002,116.879997,2133900,116.550735
2015-04-29,116.019997,117.519997,114.75,117.029999,2090300,116.700314
2015-04-28,120.379997,121.00,114.559998,117.449997,3102300,117.119129
2015-04-27,120.00,121.940002,118.720001,120.150002,2732000,119.811528
2015-04-24,123.730003,123.730003,115.870003,119.50,5505900,119.163357
2015-04-23,125.220001,125.459999,122.550003,124.07,2805300,123.720483
2015-04-22,123.910004,128.00,122.75,127.900002,2258000,127.539695
2015-04-21,124.32,125.050003,122.940002,123.099998,2061600,122.753214
2015-04-20,122.50,123.82,122.199997,123.029999,1329500,122.683412
2015-04-17,123.690002,124.279999,120.940002,121.849998,2681700,121.506736
2015-04-16,125.07,126.160004,124.800003,125.330002,1545600,124.976935
2015-04-15,124.769997,126.300003,124.650002,125.900002,1689300,125.545329
2015-04-14,125.059998,125.339996,122.139999,123.980003,1604700,123.63074
2015-04-13,127.25,127.470001,125.099998,125.349998,1048300,124.996876
2015-04-10,127.559998,127.970001,126.07,126.82,1166900,126.462736
2015-04-09,125.839996,127.940002,125.650002,127.220001,1396100,126.86161
2015-04-08,125.470001,127.470001,125.300003,126.790001,1360700,126.432822
2015-04-07,126.510002,127.169998,125.400002,125.650002,1613200,125.296034
2015-04-06,123.370003,126.730003,122.50,125.830002,1422700,125.475527
2015-04-02,126.110001,126.910004,124.629997,125.019997,1450800,124.667804
2015-04-01,126.660004,126.959999,123.610001,125.629997,2183000,125.276086
2015-03-31,129.309998,129.50,126.730003,126.980003,1640200,126.622289
2015-03-30,129.830002,130.899994,128.300003,130.550003,1952300,130.182231
2015-03-27,124.989998,129.00,124.849998,128.210007,2429700,127.848827
2015-03-26,120.260002,125.139999,116.959999,124.709999,4505800,124.358679
2015-03-25,132.619995,133.330002,124.400002,124.43,4885300,124.079469
2015-03-24,134.970001,135.369995,132.880005,133.119995,2581900,132.744984
2015-03-23,135.00,136.279999,133.889999,134.440002,2384900,134.061272
2015-03-20,133.429993,134.179993,132.199997,133.289993,5552200,132.914503
2015-03-19,130.50,132.949997,130.020004,132.039993,2446100,131.668024
2015-03-18,128.660004,131.279999,127.690002,130.440002,2125000,130.072541
2015-03-17,128.809998,129.600006,127.50,129.100006,1900600,128.357389
2015-03-16,126.870003,130.449997,126.699997,129.869995,2307700,129.122948
2015-03-13,125.709999,126.75,123.940002,125.00,1841400,124.280967
2015-03-12,122.879997,126.209999,121.550003,126.120003,2230500,125.394527
2015-03-11,125.300003,126.470001,124.519997,124.660004,1774200,123.942926
2015-03-10,125.720001,126.93,124.510002,125.120003,1768800,124.400279
2015-03-09,127.790001,128.589996,126.93,127.120003,1783500,126.388775
2015-03-06,130.00,130.490005,127.50,127.889999,2232900,127.154342
2015-03-05,129.360001,131.539993,128.779999,130.570007,2168800,129.818934
2015-03-04,127.690002,129.880005,124.370003,129.399994,3614300,128.655651
2015-03-03,128.240005,128.940002,127.57,128.220001,1868200,127.482446
2015-03-02,127.209999,130.869995,127.209999,129.020004,2789300,128.277847
2015-02-27,128.699997,128.699997,126.139999,127.620003,3382500,126.885899
2015-02-26,123.239998,129.889999,123.050003,129.25,8926300,128.50652
2015-02-25,113.290001,113.900002,112.309998,112.68,3821600,112.031835
2015-02-24,113.50,113.599998,111.610001,113.18,2321300,112.528959
2015-02-23,113.00,113.230003,111.959999,112.849998,2385400,112.200855
2015-02-20,111.43,112.160004,110.459999,112.059998,1928300,111.415399
2015-02-19,110.00,111.099998,109.650002,110.900002,1319600,110.262075
2015-02-18,110.32,110.589996,109.290001,110.00,1668100,109.367251
2015-02-17,110.199997,111.349998,109.089996,110.870003,1531200,110.232249
2015-02-13,110.00,110.199997,108.089996,110.150002,1461400,109.516389
2015-02-12,108.800003,110.040001,108.459999,109.699997,2107200,109.068973
2015-02-11,106.790001,108.300003,106.330002,107.940002,1716900,107.319103
2015-02-10,103.040001,107.459999,102.889999,107.040001,2039800,106.424278
2015-02-09,103.949997,104.349998,101.82,102.239998,2034600,101.651886
2015-02-06,106.269997,107.110001,104.260002,104.739998,1038300,104.137506
2015-02-05,104.739998,106.220001,103.75,106.199997,1658500,105.589106
2015-02-04,102.93,105.279999,102.449997,104.800003,1665800,104.197166
2015-02-03,102.50,103.720001,101.360001,103.199997,1539000,102.606363
2015-02-02,103.25,103.489998,99.160004,102.419998,2158100,101.830851
2015-01-30,105.290001,106.730003,102.620003,102.879997,1693800,102.288204
2015-01-29,104.629997,106.599998,102.269997,106.529999,1584200,105.91721
2015-01-28,107.120003,108.339996,104.860001,105.00,2330200,104.396012
2015-01-27,105.07,105.980003,102.82,104.790001,1524200,104.187221
2015-01-26,106.739998,107.059998,104.620003,106.730003,959200,106.116064
2015-01-23,105.029999,107.50,104.25,106.980003,1508800,106.364626
2015-01-22,105.980003,106.489998,101.519997,105.199997,2063900,104.594859
2015-01-21,104.330002,106.879997,104.110001,105.379997,1645100,104.773824
2015-01-20,103.690002,105.239998,102.580002,104.870003,1284000,104.266763
2015-01-16,100.690002,103.910004,100.309998,103.82,1537500,103.222799
2015-01-15,103.559998,105.540001,101.050003,101.32,1837200,100.73718
2015-01-14,101.110001,103.489998,100.010002,103.389999,2098400,102.795273
2015-01-13,103.779999,107.379997,101.730003,102.580002,2433700,101.989934
2015-01-12,105.07,105.639999,102.720001,103.160004,1869200,102.5666
2015-01-09,104.470001,105.800003,102.580002,104.900002,2343200,104.296589
2015-01-08,100.529999,104.300003,100.360001,103.790001,3326500,103.192973
2015-01-07,97.050003,99.389999,96.529999,98.849998,3090700,98.281387
2015-01-06,98.949997,99.080002,95.18,96.25,2219400,95.696344
2015-01-05,100.07,100.82,98.400002,98.489998,1559600,97.923457
2015-01-02,100.93,102.209999,99.129997,100.089996,1350000,99.514252
