Date,Open,High,Low,Close,Volume,Adj Close
2015-06-12,78.910004,79.019997,73.099998,74.239998,1377700,74.239998
2015-06-11,82.139999,84.519997,78.339996,79.290001,1521300,79.290001
2015-06-10,78.949997,86.330002,75.699997,81.68,6434200,81.68
2015-06-09,100.559998,101.519997,97.160004,100.529999,585000,100.529999
2015-06-08,102.68,104.230003,100.050003,100.769997,506200,100.769997
2015-06-05,103.110001,103.519997,100.269997,102.839996,429000,102.839996
2015-06-04,105.18,106.739998,100.32,102.209999,722100,102.209999
2015-06-03,103.699997,107.949997,102.160004,105.839996,905800,105.839996
2015-06-02,103.489998,103.809998,98.029999,100.029999,824400,100.029999
2015-06-01,108.050003,108.989998,103.669998,104.029999,457300,104.029999
2015-05-29,105.580002,109.239998,105.040001,107.510002,479600,107.510002
2015-05-28,105.419998,105.82,101.559998,105.349998,489500,105.349998
2015-05-27,103.989998,107.25,103.029999,105.82,611000,105.82
2015-05-26,107.18,107.18,102.57,103.75,706100,103.75
2015-05-22,107.889999,109.720001,101.099998,107.940002,2011600,107.940002
2015-05-21,117.510002,120.959999,111.769997,113.769997,1062400,113.769997
2015-05-20,115.93,117.989998,114.019997,115.110001,718900,115.110001
2015-05-19,110.709999,118.239998,110.580002,115.300003,989200,115.300003
2015-05-18,106.629997,110.330002,105.00,109.790001,478400,109.790001
2015-05-15,108.120003,108.980003,106.050003,106.529999,230300,106.529999
2015-05-14,105.410004,109.010002,103.449997,107.739998,427600,107.739998
2015-05-13,106.260002,107.489998,103.019997,104.970001,461500,104.970001
2015-05-12,102.739998,106.220001,100.00,105.599998,457000,105.599998
2015-05-11,102.93,106.400002,102.660004,104.300003,358800,104.300003
2015-05-08,101.260002,105.800003,99.75,103.540001,546300,103.540001
2015-05-07,101.010002,101.75,98.260002,99.980003,581300,99.980003
2015-05-06,99.550003,102.120003,97.709999,100.870003,582600,100.870003
2015-05-05,103.239998,103.800003,95.779999,97.00,737400,97.00
2015-05-04,100.730003,104.879997,99.129997,103.849998,463600,103.849998
2015-05-01,96.809998,100.709999,96.720001,100.400002,576200,100.400002
2015-04-30,97.910004,100.050003,93.489998,95.129997,701500,95.129997
2015-04-29,99.900002,101.699997,97.300003,99.019997,489200,99.019997
2015-04-28,100.379997,103.599998,97.300003,100.50,819200,100.50
2015-04-27,105.00,105.419998,98.00,100.07,794100,100.07
2015-04-24,109.00,109.00,104.43,104.599998,551300,104.599998
2015-04-23,103.709999,111.589996,102.699997,108.889999,1505300,108.889999
2015-04-22,103.07,103.129997,100.269997,100.529999,348100,100.529999
2015-04-21,101.00,104.25,100.82,103.129997,371100,103.129997
2015-04-20,101.870003,101.959999,99.639999,100.870003,346300,100.870003
2015-04-17,100.699997,102.150002,98.830002,101.220001,403000,101.220001
2015-04-16,102.269997,102.809998,100.00,101.349998,371500,101.349998
2015-04-15,103.43,107.690002,100.57,101.910004,635100,101.910004
2015-04-14,100.199997,105.080002,99.730003,103.75,720600,103.75
2015-04-13,100.00,104.949997,100.00,100.550003,536400,100.550003
2015-04-10,99.93,102.43,99.190002,100.860001,316400,100.860001
2015-04-09,100.989998,104.00,98.849998,100.139999,422200,100.139999
2015-04-08,98.830002,101.379997,97.550003,101.019997,424700,101.019997
2015-04-07,100.800003,102.989998,98.019997,98.720001,572500,98.720001
2015-04-06,98.849998,103.25,98.150002,100.589996,653100,100.589996
2015-04-02,107.260002,109.68,99.110001,99.790001,2400900,99.790001
2015-04-01,96.989998,105.639999,93.629997,105.239998,2572100,105.239998
2015-03-31,91.489998,98.940002,91.339996,92.599998,1606600,92.599998
2015-03-30,92.169998,93.07,88.00,92.040001,890300,92.040001
2015-03-27,91.300003,94.559998,90.290001,90.650002,1575200,90.650002
2015-03-26,85.330002,92.75,84.25,88.50,2028600,88.50
2015-03-25,102.739998,104.07,85.809998,87.230003,3769300,87.230003
2015-03-24,111.589996,114.650002,101.510002,102.739998,1545000,102.739998
2015-03-23,110.809998,113.410004,107.349998,112.699997,1344800,112.699997
2015-03-20,112.720001,115.980003,109.019997,112.330002,3054300,112.330002
2015-03-19,108.610001,118.949997,108.50,110.139999,6048400,110.139999
2015-03-18,98.260002,109.849998,95.269997,105.720001,2751700,105.720001
2015-03-17,83.709999,100.50,82.690002,99.599998,5747700,99.599998
2015-03-16,75.550003,77.290001,74.75,77.099998,548300,77.099998
2015-03-13,70.559998,75.080002,70.129997,74.389999,621500,74.389999
2015-03-12,69.489998,71.379997,68.169998,70.800003,401200,70.800003
2015-03-11,67.82,69.50,65.699997,69.099998,460800,69.099998
2015-03-10,66.269997,69.349998,64.209999,67.739998,461600,67.739998
2015-03-09,65.599998,67.489998,64.010002,67.290001,531300,67.290001
2015-03-06,66.089996,68.00,63.619999,65.279999,789500,65.279999
2015-03-05,65.120003,66.199997,62.200001,63.16,447000,63.16
2015-03-04,61.799999,65.07,61.00,64.279999,319800,64.279999
2015-03-03,61.25,62.700001,58.799999,62.139999,545300,62.139999
2015-03-02,62.290001,64.050003,60.619999,61.41,492500,61.41
2015-02-27,66.18,66.419998,62.41,62.450001,348000,62.450001
2015-02-26,66.300003,66.519997,65.050003,66.32,361600,66.32
2015-02-25,64.75,66.300003,64.089996,66.059998,228600,66.059998
2015-02-24,63.540001,65.849998,62.50,65.400002,275100,65.400002
2015-02-23,65.980003,66.540001,63.150002,64.019997,470300,64.019997
2015-02-20,65.25,66.599998,62.259998,65.980003,433200,65.980003
2015-02-19,69.279999,69.580002,64.540001,65.029999,581200,65.029999
2015-02-18,68.00,70.129997,66.110001,70.059998,215000,70.059998
2015-02-17,68.709999,70.870003,67.010002,67.720001,465400,67.720001
2015-02-13,68.110001,68.739998,63.580002,67.129997,395500,67.129997
2015-02-12,65.099998,69.00,63.98,67.459999,472300,67.459999
2015-02-11,61.419998,65.129997,61.349998,64.32,333500,64.32
2015-02-10,59.810001,61.349998,57.759998,61.25,232000,61.25
2015-02-09,59.32,63.07,57.650002,58.689999,427100,58.689999
2015-02-06,58.709999,60.529999,56.279999,59.389999,331900,59.389999
2015-02-05,55.360001,58.720001,55.360001,58.529999,627700,58.529999
2015-02-04,51.09,55.369999,49.50,55.009998,579400,55.009998
2015-02-03,52.759998,55.490002,48.130001,51.779999,1742600,51.779999
2015-02-02,45.900002,45.93,43.099998,44.790001,298600,44.790001
2015-01-30,47.889999,48.959999,43.799999,45.900002,412300,45.900002
2015-01-29,45.619999,49.450001,45.330002,47.810001,354100,47.810001
2015-01-28,47.650002,47.849998,45.00,45.66,156000,45.66
2015-01-27,46.720001,47.900002,46.209999,47.119999,112700,47.119999
2015-01-26,46.209999,48.02,45.360001,47.900002,219300,47.900002
2015-01-23,46.720001,46.900002,45.040001,46.310001,116700,46.310001
2015-01-22,45.16,47.169998,42.599998,46.73,376300,46.73
2015-01-21,47.610001,49.700001,44.990002,45.43,552200,45.43
2015-01-20,43.75,45.900002,43.099998,45.669998,278000,45.669998
2015-01-16,42.759998,45.630001,42.610001,45.290001,319500,45.290001
2015-01-15,49.630001,49.630001,42.599998,42.82,674400,42.82
2015-01-14,44.50,49.650002,44.50,49.130001,463900,49.130001
2015-01-13,48.560001,48.57,44.759998,45.25,259900,45.25
2015-01-12,48.00,48.779999,45.029999,48.52,401100,48.52
2015-01-09,48.200001,48.610001,44.459999,44.939999,366500,44.939999
2015-01-08,47.759998,48.93,46.599998,47.959999,236000,47.959999
2015-01-07,43.91,47.990002,43.91,47.07,323700,47.07
2015-01-06,44.25,45.50,42.029999,43.369999,280200,43.369999
2015-01-05,42.18,45.07,41.349998,44.189999,454600,44.189999
2015-01-02,41.50,43.099998,41.00,41.23,357200,41.23
