Date,Open,High,Low,Close,Volume,Adj Close
2015-06-02,5.16,5.16,5.02,5.10,151900,5.10
2015-06-01,5.10,5.18,5.05,5.14,181400,5.14
2015-05-29,5.26,5.27,5.05,5.09,243300,5.09
2015-05-28,5.22,5.29,5.22,5.28,165100,5.28
2015-05-27,5.40,5.40,5.15,5.22,284700,5.22
2015-05-26,5.40,5.46,5.38,5.39,159000,5.39
2015-05-22,5.45,5.47,5.41,5.45,122800,5.45
2015-05-21,5.46,5.46,5.40,5.46,152600,5.46
2015-05-20,5.41,5.46,5.25,5.44,248200,5.44
2015-05-19,5.51,5.61,5.51,5.56,130200,5.56
2015-05-18,5.50,5.65,5.50,5.55,299600,5.55
2015-05-15,5.49,5.62,5.45,5.52,568100,5.52
2015-05-14,5.53,5.60,5.32,5.59,236600,5.59
2015-05-13,5.91,5.92,5.52,5.53,955500,5.53
2015-05-12,5.51,5.65,5.33,5.57,307300,5.57
2015-05-11,5.42,5.60,5.42,5.57,85700,5.57
2015-05-08,5.36,5.50,5.36,5.42,75400,5.42
2015-05-07,5.38,5.49,5.335,5.36,79000,5.36
2015-05-06,5.44,5.48,5.30,5.35,118600,5.35
2015-05-05,5.38,5.45,5.21,5.45,161000,5.45
2015-05-04,5.42,5.58,5.27,5.40,137600,5.40
2015-05-01,5.43,5.56,5.35,5.43,186100,5.43
2015-04-30,5.52,5.58,5.40,5.43,125700,5.43
2015-04-29,5.62,5.65,5.54,5.56,91500,5.56
2015-04-28,5.49,5.70,5.47,5.64,154500,5.64
2015-04-27,5.71,5.72,5.49,5.52,270800,5.52
2015-04-24,5.87,5.94,5.71,5.71,179400,5.71
2015-04-23,5.74,5.86,5.69,5.84,322500,5.84
2015-04-22,5.75,5.87,5.66,5.74,276100,5.74
2015-04-21,5.38,5.82,5.36,5.71,792000,5.71
2015-04-20,5.33,5.52,5.33,5.39,91900,5.39
2015-04-17,5.31,5.36,5.20,5.31,143500,5.31
2015-04-16,5.30,5.38,5.24,5.35,49900,5.35
2015-04-15,5.49,5.56,5.29,5.34,145200,5.34
2015-04-14,5.13,5.46,5.12,5.45,144600,5.45
2015-04-13,5.31,5.47,5.04,5.11,218300,5.11
2015-04-10,5.13,5.46,5.11,5.30,272900,5.30
2015-04-09,5.35,5.36,5.10,5.18,321000,5.18
2015-04-08,5.50,5.60,5.43,5.49,288300,5.49
2015-04-07,5.45,5.649,5.42,5.48,265800,5.48
2015-04-06,5.54,5.54,5.40,5.47,145100,5.47
2015-04-02,5.44,5.54,5.354,5.50,159600,5.50
2015-04-01,5.53,5.54,5.25,5.47,290900,5.47
2015-03-31,5.66,5.70,5.48,5.56,290500,5.56
2015-03-30,5.60,5.71,5.50,5.68,211400,5.68
2015-03-27,5.55,5.70,5.43,5.63,521300,5.63
2015-03-26,5.40,5.58,5.35,5.52,157600,5.52
2015-03-25,5.54,5.54,5.33,5.47,248200,5.47
2015-03-24,5.53,5.54,5.42,5.50,221700,5.50
2015-03-23,5.50,5.54,5.26,5.50,334000,5.50
2015-03-20,5.09,5.49,5.09,5.48,661700,5.48
2015-03-19,4.99,5.25,4.95,5.08,601100,5.08
2015-03-18,4.78,4.98,4.56,4.98,922500,4.98
2015-03-17,4.55,4.79,4.49,4.76,1005000,4.76
2015-03-16,4.58,4.60,4.47,4.53,331200,4.53
2015-03-13,4.46,4.55,4.40,4.53,226900,4.53
2015-03-12,4.35,4.52,4.30,4.49,442900,4.49
2015-03-11,4.15,4.35,4.15,4.29,137600,4.29
2015-03-10,4.36,4.36,4.13,4.14,179100,4.14
2015-03-09,4.33,4.45,4.28,4.38,174800,4.38
2015-03-06,4.24,4.37,4.21,4.31,184400,4.31
2015-03-05,4.05,4.23,4.03,4.21,180300,4.21
2015-03-04,4.20,4.20,3.98,4.03,342000,4.03
2015-03-03,3.95,4.24,3.87,4.20,569300,4.20
2015-03-02,3.94,3.95,3.88,3.93,458600,3.93
2015-02-27,3.89,3.915,3.86,3.90,968800,3.90
2015-02-26,3.84,3.94,3.72,3.86,236000,3.86
2015-02-25,4.00,4.00,3.79,3.82,367700,3.82
2015-02-24,4.00,4.06,3.78,3.81,449500,3.81
2015-02-23,3.76,3.845,3.67,3.78,142500,3.78
2015-02-20,3.84,3.88,3.76,3.80,88900,3.80
2015-02-19,3.85,3.85,3.74,3.81,104000,3.81
2015-02-18,3.78,3.78,3.64,3.77,77000,3.77
2015-02-17,3.69,3.90,3.69,3.76,159700,3.76
2015-02-13,3.71,3.902,3.65,3.78,177700,3.78
2015-02-12,3.90,3.94,3.85,3.87,125200,3.87
2015-02-11,3.92,3.95,3.89,3.89,67700,3.89
2015-02-10,3.89,3.96,3.82,3.94,96100,3.94
2015-02-09,3.98,3.995,3.84,3.84,142200,3.84
2015-02-06,4.00,4.00,3.95,3.97,40200,3.97
2015-02-05,3.99,4.05,3.95,3.97,59700,3.97
2015-02-04,3.92,4.08,3.88,3.99,157000,3.99
2015-02-03,3.82,3.95,3.79,3.94,84500,3.94
2015-02-02,3.97,3.97,3.70,3.82,257100,3.82
2015-01-30,3.95,4.00,3.87,3.93,151800,3.93
2015-01-29,4.05,4.05,3.80,3.98,359800,3.98
2015-01-28,4.21,4.21,4.04,4.05,168000,4.05
2015-01-27,4.26,4.34,4.20,4.22,121300,4.22
2015-01-26,4.41,4.41,4.21,4.30,105600,4.30
2015-01-23,4.37,4.41,4.24,4.33,96100,4.33
2015-01-22,4.29,4.40,4.26,4.34,122000,4.34
2015-01-21,4.20,4.30,4.17,4.29,110300,4.29
2015-01-20,4.42,4.50,4.20,4.22,150400,4.22
2015-01-16,4.20,4.40,4.185,4.33,335000,4.33
2015-01-15,4.13,4.35,4.02,4.21,308400,4.21
2015-01-14,4.04,4.18,4.00,4.15,65600,4.15
2015-01-13,4.01,4.14,3.99,4.12,142400,4.12
2015-01-12,4.22,4.22,3.96,3.99,155900,3.99
2015-01-09,4.33,4.33,4.14,4.25,86600,4.25
2015-01-08,4.40,4.42,4.25,4.34,179400,4.34
2015-01-07,4.41,4.41,4.26,4.36,107300,4.36
2015-01-06,4.52,4.52,4.39,4.39,107800,4.39
2015-01-05,4.52,4.55,4.37,4.47,129000,4.47
2015-01-02,4.49,4.562,4.29,4.49,91700,4.49
