Date,Open,High,Low,Close,Volume,Adj Close
2015-03-10,12.63,12.75,11.52,12.33,941700,12.33
2015-03-09,11.95,12.86,11.84,12.81,1456600,12.81
2015-03-06,11.06,12.38,10.81,11.90,1370800,11.90
2015-03-05,10.76,11.25,10.50,11.10,792700,11.10
2015-03-04,10.15,10.90,9.70,10.59,1103400,10.59
2015-03-03,9.49,10.14,9.11,10.12,619100,10.12
2015-03-02,9.20,9.47,8.99,9.32,413800,9.32
2015-02-27,9.83,9.90,8.97,9.00,759100,9.00
2015-02-26,9.00,9.85,8.94,9.73,970000,9.73
2015-02-25,8.29,8.93,8.26,8.90,596400,8.90
2015-02-24,8.62,8.65,8.26,8.30,403100,8.30
2015-02-23,8.38,9.05,8.28,8.57,1070100,8.57
2015-02-20,8.25,8.58,8.02,8.22,594400,8.22
2015-02-19,8.50,8.84,8.18,8.30,916000,8.30
2015-02-18,7.53,8.66,7.25,8.59,1643700,8.59
2015-02-17,7.18,7.83,7.02,7.50,547100,7.50
2015-02-13,7.12,7.39,6.95,7.18,519800,7.18
2015-02-12,7.30,7.39,7.02,7.12,538500,7.12
2015-02-11,7.80,8.15,7.35,7.46,1523200,7.46
2015-02-10,7.30,7.47,6.87,7.02,705300,7.02
2015-02-09,7.51,7.89,7.19,7.31,688400,7.31
2015-02-06,7.83,8.30,7.50,7.53,884200,7.53
2015-02-05,7.72,8.34,7.66,7.95,804300,7.95
2015-02-04,8.70,8.75,7.555,7.73,1837200,7.73
2015-02-03,9.57,9.58,8.53,8.74,982100,8.74
2015-02-02,9.87,10.06,9.17,9.60,707000,9.60
2015-01-30,9.66,10.25,9.60,9.85,821100,9.85
2015-01-29,8.98,10.30,8.64,10.14,1652100,10.14
2015-01-28,10.86,11.08,9.10,9.16,4234400,9.16
2015-01-27,8.15,10.19,7.80,9.89,5370700,9.89
2015-01-26,7.77,8.33,7.49,8.23,1131800,8.23
2015-01-23,7.44,8.35,7.44,7.73,1871900,7.73
2015-01-22,7.93,8.29,6.80,7.43,7758700,7.43
2015-01-21,11.88,11.94,8.259,8.37,7213200,8.37
2015-01-20,13.56,13.74,11.51,11.76,2784200,11.76
2015-01-16,12.30,13.53,12.10,13.51,1876700,13.51
2015-01-15,12.32,12.55,11.71,12.33,1449000,12.33
2015-01-14,11.62,12.42,11.10,12.20,1203100,12.20
2015-01-13,12.01,12.88,11.28,11.73,2646100,11.73
2015-01-12,11.21,13.17,10.71,12.09,1939500,12.09
2015-01-09,10.38,11.75,9.69,11.30,1636100,11.30
2015-01-08,9.31,10.60,9.22,10.41,1855700,10.41
2015-01-07,8.37,9.452,8.22,9.12,1338700,9.12
2015-01-06,8.60,8.74,7.76,7.99,757700,7.99
2015-01-05,8.43,9.10,8.20,8.67,869600,8.67
2015-01-02,7.87,8.62,7.87,8.42,895500,8.42
