Date,Open,High,Low,Close,Volume,Adj Close
2015-03-11,5.20,5.20,4.98,5.01,58500,5.01
2015-03-10,5.05,5.20,5.05,5.15,49800,5.15
2015-03-09,5.05,5.24,5.01,5.19,169400,5.19
2015-03-06,4.88,5.05,4.86,4.97,200000,4.97
2015-03-05,4.75,4.90,4.73,4.87,20700,4.87
2015-03-04,4.88,4.89,4.77,4.87,2000,4.87
2015-03-03,4.88,4.90,4.80,4.88,11200,4.88
2015-03-02,4.90,4.90,4.85,4.88,9100,4.88
2015-02-27,4.85,4.89,4.72,4.89,7800,4.89
2015-02-26,4.72,4.86,4.72,4.80,3200,4.80
2015-02-25,4.84,4.84,4.75,4.78,18400,4.78
2015-02-24,4.77,4.80,4.70,4.79,16100,4.79
2015-02-23,4.77,4.83,4.71,4.83,18000,4.83
2015-02-20,4.80,4.89,4.80,4.83,14000,4.83
2015-02-19,4.85,4.91,4.80,4.91,5700,4.91
2015-02-18,4.98,5.00,4.81,4.90,92100,4.90
2015-02-17,4.95,5.01,4.88,4.94,73000,4.94
2015-02-13,4.89,4.90,4.82,4.88,9100,4.88
2015-02-12,4.84,4.86,4.79,4.84,9200,4.84
2015-02-11,4.83,4.89,4.81,4.85,6500,4.85
2015-02-10,4.86,4.90,4.86,4.89,13300,4.89
2015-02-09,4.82,4.90,4.82,4.87,21300,4.87
2015-02-06,4.75,4.83,4.69,4.79,9400,4.79
2015-02-05,4.83,4.87,4.67,4.79,21400,4.79
2015-02-04,4.72,4.79,4.72,4.72,2600,4.72
2015-02-03,4.64,4.80,4.64,4.67,5100,4.67
2015-02-02,4.72,4.86,4.64,4.67,8000,4.67
2015-01-30,4.68,4.75,4.61,4.73,5800,4.73
2015-01-29,4.64,4.68,4.62,4.68,500,4.68
2015-01-28,4.59,4.59,4.59,4.59,000,4.59
2015-01-27,4.62,4.68,4.55,4.59,37400,4.59
2015-01-26,4.56,4.56,4.50,4.52,2300,4.52
2015-01-23,4.52,4.56,4.45,4.51,5200,4.51
2015-01-22,4.48,4.65,4.44,4.52,31700,4.52
2015-01-21,4.46,4.58,4.42,4.57,62700,4.57
2015-01-20,4.53,4.55,4.46,4.49,10600,4.49
2015-01-16,4.53,4.67,4.50,4.60,5600,4.60
2015-01-15,4.60,4.61,4.55,4.55,7000,4.55
2015-01-14,4.66,4.74,4.60,4.60,8200,4.60
2015-01-13,4.70,4.72,4.68,4.68,12400,4.68
2015-01-12,4.59,4.69,4.54,4.68,8900,4.68
2015-01-09,4.56,4.67,4.55,4.58,3900,4.58
2015-01-08,4.57,4.67,4.56,4.65,16400,4.65
2015-01-07,4.57,4.59,4.51,4.54,15300,4.54
2015-01-06,4.64,4.64,4.58,4.59,6300,4.59
2015-01-05,4.70,4.73,4.66,4.72,7000,4.72
2015-01-02,4.67,4.79,4.64,4.75,1700,4.75
