Date,Open,High,Low,Close,Volume,Adj Close
2015-06-26,115.389999,115.879997,113.919998,115.68,284300,115.68
2015-06-25,114.860001,115.410004,112.849998,115.129997,467100,115.129997
2015-06-24,117.410004,117.410004,112.790001,114.099998,434700,114.099998
2015-06-23,119.720001,120.00,117.099998,117.349998,250300,117.349998
2015-06-22,120.519997,121.860001,119.260002,119.879997,226200,119.879997
2015-06-19,120.349998,120.550003,117.790001,119.879997,356300,119.879997
2015-06-18,120.00,122.00,119.410004,119.75,607900,119.75
2015-06-17,117.989998,119.150002,117.50,118.199997,371400,118.199997
2015-06-16,119.019997,119.040001,117.239998,117.57,258900,117.57
2015-06-15,117.400002,118.559998,116.029999,118.459999,233500,118.459999
2015-06-12,117.910004,118.43,116.849998,117.739998,197500,117.739998
2015-06-11,118.339996,119.290001,117.419998,118.860001,249700,118.860001
2015-06-10,118.629997,118.629997,116.889999,118.290001,538600,118.290001
2015-06-09,117.739998,118.559998,116.510002,117.989998,204600,117.989998
2015-06-08,117.400002,118.489998,116.709999,117.940002,225800,117.940002
2015-06-05,116.75,118.010002,115.339996,117.629997,195700,117.629997
2015-06-04,118.129997,119.029999,116.510002,116.709999,361400,116.709999
2015-06-03,115.910004,119.010002,115.129997,118.57,473000,118.57
2015-06-02,115.32,116.379997,114.940002,115.440002,385800,115.440002
2015-06-01,117.309998,117.370003,115.18,115.980003,621300,115.980003
2015-05-29,121.239998,121.239998,115.50,116.599998,1819600,116.599998
2015-05-28,121.529999,123.099998,120.209999,123.029999,317500,123.029999
2015-05-27,120.150002,122.839996,119.559998,122.07,298200,122.07
2015-05-26,120.809998,121.269997,119.519997,120.160004,309100,120.160004
2015-05-22,120.400002,122.160004,119.900002,121.269997,289800,121.269997
2015-05-21,121.620003,122.470001,120.32,120.870003,296300,120.870003
2015-05-20,120.25,122.809998,119.830002,121.879997,395200,121.879997
2015-05-19,121.639999,121.639999,119.620003,120.190002,278800,120.190002
2015-05-18,119.739998,121.239998,119.169998,120.849998,315200,120.849998
2015-05-15,119.639999,120.760002,119.309998,120.089996,304400,120.089996
2015-05-14,120.32,120.980003,119.019997,120.019997,407400,120.019997
2015-05-13,118.260002,120.480003,117.339996,119.800003,511300,119.800003
2015-05-12,116.080002,119.160004,114.769997,118.330002,418300,118.330002
2015-05-11,116.00,118.120003,115.519997,117.139999,381900,117.139999
2015-05-08,115.050003,117.940002,115.050003,115.959999,581600,115.959999
2015-05-07,114.190002,115.639999,113.330002,115.099998,346400,115.099998
2015-05-06,113.550003,114.849998,111.139999,114.110001,642500,114.110001
2015-05-05,114.800003,116.110001,112.239998,113.459999,898900,113.459999
2015-05-04,114.309998,117.50,112.32,115.459999,1079100,115.459999
2015-05-01,127.620003,128.699997,112.769997,113.589996,1880400,113.589996
2015-04-30,126.00,126.910004,122.330002,122.660004,912200,122.660004
2015-04-29,124.699997,127.480003,122.779999,127.019997,575800,127.019997
2015-04-28,125.75,127.50,122.650002,125.010002,545800,125.010002
2015-04-27,124.779999,127.330002,124.360001,126.019997,700100,126.019997
2015-04-24,122.610001,126.970001,120.589996,125.300003,445000,125.300003
2015-04-23,119.50,123.419998,118.379997,122.00,846800,122.00
2015-04-22,121.650002,122.190002,119.330002,120.160004,692400,120.160004
2015-04-21,123.589996,124.199997,120.75,121.510002,487100,121.510002
2015-04-20,127.50,127.989998,123.209999,123.279999,445500,123.279999
2015-04-17,128.100006,128.25,125.599998,127.18,447300,127.18
2015-04-16,125.410004,129.50,125.32,129.289993,449200,129.289993
2015-04-15,126.760002,127.510002,124.360001,125.480003,602500,125.480003
2015-04-14,126.279999,126.989998,124.019997,126.239998,888800,126.239998
2015-04-13,126.010002,130.800003,123.199997,127.129997,1600600,127.129997
2015-04-10,121.57,122.730003,119.089996,120.559998,288000,120.559998
2015-04-09,117.309998,122.309998,117.309998,121.660004,438800,121.660004
2015-04-08,116.199997,120.050003,115.419998,117.099998,656200,117.099998
2015-04-07,121.68,123.93,114.57,116.239998,1659400,116.239998
2015-04-06,116.559998,122.809998,115.830002,122.169998,749500,122.169998
2015-04-02,118.769997,120.059998,116.120003,117.650002,501600,117.650002
2015-04-01,118.830002,120.589996,117.129997,118.790001,547600,118.790001
2015-03-31,119.050003,120.50,118.099998,119.389999,388400,119.389999
2015-03-30,120.580002,121.099998,119.160004,119.580002,700600,119.580002
2015-03-27,120.379997,122.339996,119.93,120.370003,297500,120.370003
2015-03-26,120.080002,121.970001,119.300003,120.110001,284600,120.110001
2015-03-25,123.190002,124.43,119.709999,120.50,285800,120.50
2015-03-24,124.209999,125.589996,122.599998,123.18,234100,123.18
2015-03-23,124.25,125.120003,123.040001,123.800003,203900,123.800003
2015-03-20,127.449997,129.059998,124.300003,125.129997,354000,125.129997
2015-03-19,126.050003,128.330002,124.709999,126.809998,268600,126.809998
2015-03-18,121.900002,126.239998,121.809998,124.900002,319800,124.900002
2015-03-17,123.980003,124.599998,121.629997,122.25,262700,122.25
2015-03-16,125.470001,127.00,124.010002,124.529999,283300,124.529999
2015-03-13,122.220001,124.610001,121.989998,124.440002,318800,124.440002
2015-03-12,122.290001,123.25,121.669998,122.459999,213200,122.459999
2015-03-11,121.150002,122.690002,119.400002,122.25,364600,122.25
2015-03-10,121.169998,122.190002,118.779999,120.57,317700,120.57
2015-03-09,122.400002,123.209999,119.529999,123.110001,367400,123.110001
2015-03-06,123.190002,123.190002,120.32,121.730003,374400,121.730003
2015-03-05,123.410004,124.940002,122.510002,123.190002,422100,123.190002
2015-03-04,126.010002,126.370003,122.760002,123.870003,366800,123.870003
2015-03-03,128.710007,128.960007,126.040001,126.699997,253000,126.699997
2015-03-02,126.410004,129.360001,126.410004,129.25,399000,129.25
2015-02-27,130.419998,130.839996,126.18,127.07,323900,127.07
2015-02-26,130.800003,131.610001,128.520004,131.289993,318800,131.289993
2015-02-25,131.139999,132.580002,129.309998,130.580002,216800,130.580002
2015-02-24,128.710007,131.279999,128.710007,131.020004,339000,131.020004
2015-02-23,132.25,134.089996,128.889999,129.089996,342000,129.089996
2015-02-20,132.300003,133.520004,131.440002,132.960007,399300,132.960007
2015-02-19,132.029999,133.360001,131.070007,132.589996,282500,132.589996
2015-02-18,132.809998,133.460007,130.339996,132.389999,411100,132.389999
2015-02-17,134.899994,135.610001,130.020004,133.449997,428700,133.449997
2015-02-13,129.160004,134.740005,129.160004,134.600006,453300,134.600006
2015-02-12,128.679993,129.910004,127.019997,129.649994,321900,129.649994
2015-02-11,132.649994,132.889999,128.020004,128.160004,496000,128.160004
2015-02-10,136.00,137.380005,132.259995,133.309998,570500,133.309998
2015-02-09,144.550003,144.550003,135.020004,136.279999,479700,136.279999
2015-02-06,148.00,152.75,142.910004,145.179993,554100,145.179993
2015-02-05,142.00,147.25,139.789993,146.309998,665400,146.309998
2015-02-04,143.880005,145.160004,140.440002,142.100006,385700,142.100006
2015-02-03,139.720001,141.339996,137.479996,139.850006,376600,139.850006
2015-02-02,140.039993,141.259995,135.110001,138.360001,300700,138.360001
2015-01-30,142.320007,142.649994,139.050003,139.710007,244500,139.710007
2015-01-29,143.50,143.50,140.210007,143.259995,190300,143.259995
2015-01-28,146.669998,146.669998,141.720001,142.570007,203200,142.570007
2015-01-27,147.910004,148.979996,144.00,145.75,225400,145.75
2015-01-26,148.160004,151.25,147.940002,149.539993,234300,149.539993
2015-01-23,145.949997,149.710007,143.800003,148.50,297400,148.50
2015-01-22,146.089996,146.759995,143.220001,146.320007,183900,146.320007
2015-01-21,142.75,146.00,141.800003,145.779999,310400,145.779999
2015-01-20,140.50,144.220001,138.119995,143.190002,404900,143.190002
2015-01-16,139.360001,140.759995,137.550003,140.220001,224800,140.220001
2015-01-15,142.00,142.789993,138.320007,138.970001,332500,138.970001
2015-01-14,139.50,144.039993,138.759995,141.190002,354600,141.190002
2015-01-13,140.419998,142.729996,137.240005,140.25,356300,140.25
2015-01-12,141.309998,141.869995,138.669998,139.600006,378400,139.600006
2015-01-09,144.789993,145.75,140.259995,140.979996,548200,140.979996
2015-01-08,145.080002,146.910004,142.990005,144.789993,419200,144.789993
2015-01-07,142.860001,143.919998,141.240005,143.850006,244600,143.850006
2015-01-06,144.770004,144.919998,139.229996,141.229996,613800,141.229996
2015-01-05,146.570007,147.910004,142.289993,143.789993,502100,143.789993
2015-01-02,147.089996,149.729996,145.25,147.990005,336300,147.990005
